,Media Source,Tweet,Date & Time (UTC),Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
122,@CBSNews,NEW: Justice Department reveals one child separated from parents by the federal government may actually be an Ameri… https://t.co/kUwGZ88R80,Wed Jul 11 21:11:55 +0000 2018,0.5267,0.159,0,0.841,23
123,@CBSNews,"JUST IN: Croatia beat England 2-1 in a dramatic finish to the advance to their first-ever World Cup, where they'll… https://t.co/l4F4zOjZF6",Wed Jul 11 20:55:05 +0000 2018,0,0,0,1,24
124,@CBSNews,"WATCH: World leaders at NATO summit greeted by unusual performance -- a woman flying and flipping through the air,… https://t.co/ck53rgURAJ",Wed Jul 11 20:43:49 +0000 2018,0.2732,0.104,0,0.896,25
125,@CBSNews,"Cardi B is making mommy moves now after she and her husband, Offset, welcomed baby daughter, Kulture Kiari Cephus… https://t.co/MHhOW9mwe7",Wed Jul 11 20:14:48 +0000 2018,0.34,0.118,0,0.882,26
126,@CBSNews,An adorable 3-year-old couldn't resist touching Meghan Markle's hair during the royal couple's trip to Ireland -- a… https://t.co/az2EHd8KJb,Wed Jul 11 19:59:59 +0000 2018,0.4939,0.151,0,0.849,27
127,@CBSNews,"Paul Manafort's ""solitary confinement"" includes a private bathroom, a personal phone and a living space bigger than… https://t.co/DdBWtYref5",Wed Jul 11 19:59:36 +0000 2018,0,0,0,1,28
128,@CBSNews,"Kylie Jenner is 20 and with $900M, she's set to become the youngest self-made billionaire in history. Even the othe… https://t.co/Yft3bwgIeU",Wed Jul 11 19:44:39 +0000 2018,0,0,0,1,29
129,@CBSNews,The founder of Papa John's allegedly used the N-word during a conference call and graphically described violence ag… https://t.co/zy8U3sb7DD,Wed Jul 11 19:29:48 +0000 2018,-0.6249,0,0.194,0.806,30
130,@CBSNews,"MILE HIGH MARIACHI: Award-wining band surprises unsuspecting passengers on a Southwest flight by ""elevating"" their… https://t.co/nzTVckz5TH",Wed Jul 11 19:14:38 +0000 2018,0.2263,0.119,0,0.881,31
131,@CBSNews,A firefighter died and at least a dozen people were injured after a natural gas explosion leveled buildings in Sun… https://t.co/EMF6xns4GX,Wed Jul 11 19:00:08 +0000 2018,-0.5859,0.105,0.265,0.63,32
132,@CBSNews,"WATCH: A group of men only needed a few seconds to make off with more than $27,000 worth of computers and phones fr… https://t.co/YGYyCMLZhi",Wed Jul 11 18:45:25 +0000 2018,0.2878,0.093,0,0.907,33
